"","ID","Camera","Date","Sites","Location","Student Recorder","Organism","Debris","Code","Subcode","Count","Length","Width","Area","Biomass","Photo","ImageJ Measurement By","Notes","Model"
"1",1,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","mantis shrimp","none","STOM","STOM",1,4.805,0.992,4.826,"0.550151040483916",NA,"Anna Metzger",NA,"WPOLY"
"2",2,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","decorator crab","concrete","MTHR","DECO",1,0.772,0.81,0.465,"0.211388474654453",NA,"Anna Metzger","a little hard to see crab","LPOLY"
"3",3,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","chiton","wood","CHIT","CHIT",1,1.929,0.656,1.094,"NA",NA,"Anna Metzger",NA,NA
"4",4,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","mithrax","none","MTHR","CLNG",1,0.664,0.971,0.405,"1.11762441641396",NA,"Anna Metzger",NA,"LPOLY"
"5",5,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","mithrax","none","MTHR","CLNG",1,0.787,1.108,0.648,"1.02539062190123",NA,"Anna Metzger",NA,"LPOLY"
"6",6,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","snapping shrimp","none","CARD","SNAP",1,1.963,0.47,0.659,"2.01793087179133",NA,"Anna Metzger",NA,"LM"
"7",7,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","none","OPHR","OPHR",1,1.62,1.576,2.304,"-0.940162505616988",NA,"Anna Metzger",NA,"WPOLY"
"8",8,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","orange striped shrimp","none","CARD","SNAP",1,1.409,0.301,0.326,"1.46393087179133",NA,"Anna Metzger","very small but tried to get accurate as i could","LM"
"9",9,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,0.92,0.915,0.681,"-0.115531298739811",NA,"Anna Metzger",NA,"WPOLY"
"10",10,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,0.48,0.573,0.22,"0.116387727772295",NA,"Anna Metzger",NA,"WPOLY"
"11",11,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,0.905,0.948,0.825,"-0.144935010408283",NA,"Anna Metzger",NA,"WPOLY"
"12",12,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,1.025,0.796,0.618,"-0.0197686883032827",NA,"Anna Metzger",NA,"WPOLY"
"13",13,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","brittle star","rope","OPHR","OPHR",1,0.916,0.839,0.475,"-0.0525166689527261",NA,"Anna Metzger",NA,"WPOLY"
"14",14,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","grass shrimp","rope","CARD","PALA",1,2.345,0.488,0.876,"1.071265301625",NA,"Anna Metzger",NA,"WPOLY"
"15",15,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","grass shrimp","rope","CARD","PALA",1,1.958,0.453,0.725,"1.04797554389394",NA,"Anna Metzger",NA,"WPOLY"
"16",16,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","star coral","crab trap","HCOR","SSPP",1,0.935,0.406,0.345,"2.348",NA,"Anna Metzger",NA,"MEDIAN"
"17",17,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","polychaete","none","POLY","POLY",1,6.303,0.532,2.061,"6.4415896776537",NA,"Anna Metzger",NA,"LM"
"18",18,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","star coral","trap mesh","HCOR","SSPP",1,3.23,1.216,3.131,"2.348",NA,"Anna Metzger",NA,"MEDIAN"
"19",19,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","green mithrax","none","MTHR","CLNG",1,1.126,1.218,0.883,"0.420384538519205",NA,"Anna Metzger",NA,"LPOLY"
"20",20,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","green mithrax","mesh bag","MTHR","CLNG",1,1.198,1.387,1.199,"0.225606045170383",NA,"Anna Metzger",NA,"LPOLY"
"21",21,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","snail","mesh bag","GAST","OSNL",1,1.099,1.001,1.034,"1.42254040485267",NA,"Anna Metzger",NA,"LM"
"22",22,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","clinging crab","none","MTHR","CLNG",1,0.236,0.272,0.102,"0.91034880126973",NA,"Anna Metzger",NA,"LPOLY"
"23",23,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","hard coral","rope","HCOR","DICH",1,2.428,2.091,4.901,"NA",NA,"Anna Metzger",NA,NA
"24",24,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","hard coral","rope","HCOR","DICH",1,1.862,2.913,4.294,"NA",NA,"Anna Metzger",NA,NA
"25",25,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","mithrax","none","MTHR","CLNG",1,NA,NA,NA,NA,NA,"Anna Metzger","could not find photo","LPOLY"
"26",26,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","porcelein crab","none","GLRH","PORC",1,0.734,0.78,0.444,"2.83293527679006",NA,"Anna Metzger",NA,"LPOLY"
"27",27,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","clinging crab","none","MTHR","CLNG",1,0.298,0.696,0.132,"0.991201372743378",NA,"Anna Metzger",NA,"LPOLY"
"28",28,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","porcelein crab","none","GLRH","PORC",1,0.808,0.784,0.479,"3.10939573542462",NA,"Anna Metzger",NA,"LPOLY"
"29",29,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","porcelein crab","none","GLRH","PORC",1,0.461,0.576,0.25,"1.88611635125321",NA,"Anna Metzger",NA,"LPOLY"
"30",30,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","porcelein crab","none","GLRH","PORC",1,0.394,0.63,0.118,"1.67132429692116",NA,"Anna Metzger",NA,"LPOLY"
"31",31,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","porcelein crab","trap bait well","GLRH","PORC",1,NA,NA,NA,NA,NA,"Anna Metzger","I am not sure where organism is","LPOLY"
"32",32,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","porcelein crab","none","GLRH","PORC",1,0.958,1.089,0.818,"3.69571487387626",NA,"Anna Metzger",NA,"LPOLY"
"33",33,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","sponge crab","none","DROM","DROM",1,0.816,0.72,0.501,"NA",NA,"Anna Metzger","check",NA
"34",34,"Red","5/12/2023","Coral Gardens","Coral Gardens","Key Dives","decorator crab","none","MTHR","DECO",1,0.591,0.622,0.408,"0.300808048104183",NA,"Anna Metzger",NA,"LPOLY"
"35",36,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","trap throat","POLY","POLY",1,1.196,0.066,2.401,"1.3345896776537","P6100010","Kailyn",NA,"LM"
"36",37,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","rope","MTHR","CLNG",1,0.784,0.748,2.322,"1.02844657246153","P6100027","Kailyn",NA,"LPOLY"
"37",38,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","rope","MTHR","CLNG",1,0.358,0.434,1.354,"1.05305009848983","P6100028","Kailyn",NA,"LPOLY"
"38",39,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","rope","POLY","POLY",1,9.062,0.224,18.689,"9.2005896776537","P6100041","Kailyn",NA,"LM"
"39",40,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","rope","POLY","POLY",1,8.735,0.325,18.972,"8.8735896776537","P6100043","Kailyn",NA,"LM"
"40",41,"Black","6/9/2023","Karas A & B","Karas","Ashley","blue worm","rope","POLY","POLY",1,4.079,0.188,8.337,"4.2175896776537","P6100029","Kailyn",NA,"LM"
"41",42,"Black","6/9/2023","Karas A & B","Karas","Ashley","feather duster","rope","POLY","SABE",1,NA,NA,NA,NA,NA,"Kailyn","no photo (nothing comes up when I search it up as feather duster_42)","LPOLY"
"42",43,"Black","6/9/2023","Karas A & B","Karas","Ashley","chiton","plexiglass","CHIT","CHIT",1,0.869,0.401,2.106,"NA","P6100008","Kailyn",NA,NA
"43",44,"Black","6/9/2023","Karas A & B","Karas","Ashley","sea cucumber","fishing net","HOLO","HOLO",1,5.77,2.913,14.015,"0.052","P6100013","Kailyn",NA,"MEDIAN"
"44",45,"Black","6/9/2023","Karas A & B","Karas","Ashley","snail","fishing net","GAST","OSNL",1,1.585,1.039,3.771,"1.90854040485267","P6100015","Kailyn",NA,"LM"
"45",46,"Black","6/9/2023","Karas A & B","Karas","Ashley","snail","fishing net","GAST","OSNL",1,1.162,0.557,2.685,"1.48554040485267","P6100016","Kailyn",NA,"LM"
"46",47,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","fishing net","MTHR","CLNG",1,0.498,0.497,1.675,"1.13464800620303","P6100034","Kailyn",NA,"LPOLY"
"47",48,"Black","6/9/2023","Karas A & B","Karas","Ashley","spagetti worm","fishing net","POLY","TERB",1,4.51,0.282,8.974,"-26.3518968054999","P6100018","Kailyn",NA,"LPOLY"
"48",49,"Black","6/9/2023","Karas A & B","Karas","Ashley","spagetti worm","fishing net","POLY","TERB",1,8.965,0.474,17.803,"-107.396158692957","P6100019","Kailyn",NA,"LPOLY"
"49",50,"Black","6/9/2023","Karas A & B","Karas","Ashley","spagetti worm","fishing net","POLY","TERB",1,1.778,0.452,3.846,"-3.47496269839232","P6100020","Kailyn",NA,"LPOLY"
"50",51,"Black","6/9/2023","Karas A & B","Karas","Ashley","spagetti worm","fishing net","POLY","TERB",1,5.318,0.538,10.757,"-37.0252847524398","P6100022","Kailyn",NA,"LPOLY"
"51",52,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","fishing net","POLY","POLY",1,6.078,0.196,12.517,"6.2165896776537","P6100026","Kailyn",NA,"LM"
"52",53,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","metal","POLY","POLY",1,2.205,0.22,4.344,"2.3435896776537","P6100030","Kailyn",NA,"LM"
"53",54,"Black","6/9/2023","Karas A & B","Karas","Ashley","snail","none","GAST","OSNL",1,1.082,0.51,2.515,"1.40554040485267","P6100017","Kailyn",NA,"LM"
"54",55,"Black","6/9/2023","Karas A & B","Karas","Ashley","chiton","none","CHIT","CHIT",1,2.034,0.77,4.892,"NA","P6100052","Kailyn",NA,NA
"55",56,"Black","6/9/2023","Karas A & B","Karas","Ashley","fireworm","none","POLY","FIRE",1,0.515,0.093,1.096,"0.45085324818601","P6100023","Kailyn",NA,"WPOLY"
"56",57,"Black","6/9/2023","Karas A & B","Karas","Ashley","brittle star","trap throat","OPHR","OPHR",1,0.276,0.254,0.849,"0.213000563444121","P6100032","Kailyn",NA,"WPOLY"
"57",58,"Black","6/9/2023","Karas A & B","Karas","Ashley","brittle star","trap throat","OPHR","OPHR",1,0.192,0.187,0.471,"0.218609860690445","P6100035","Kailyn",NA,"WPOLY"
"58",59,"Black","6/9/2023","Karas A & B","Karas","Ashley","brittle star","trap throat","OPHR","OPHR",1,0.507,0.477,1.53,"0.157616229926817","P6100066","Kailyn",NA,"WPOLY"
"59",60,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","trap throat","MTHR","CLNG",1,0.328,0.319,0.814,"1.0241416001568","P6100037","Kailyn",NA,"LPOLY"
"60",61,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","trap throat","MTHR","CLNG",1,0.342,0.281,0.921,"1.03813395899778","P6100040","Kailyn",NA,"LPOLY"
"61",62,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","trap throat","MTHR","CLNG",1,0.421,0.42,1.214,"1.10063466683245","P6100068","Kailyn",NA,"LPOLY"
"62",63,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","trap throat","MTHR","CLNG",1,0.47,0.302,1.213,"1.12535259265825","P6100070","Kailyn",NA,"LPOLY"
"63",64,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","trap throat","POLY","POLY",1,1.428,0.206,3.106,"1.5665896776537","P6100056","Kailyn",NA,"LM"
"64",65,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","rope","POLY","POLY",1,2.958,0.095,5.748,"3.0965896776537","P6100038","Kailyn",NA,"LM"
"65",66,"Black","6/9/2023","Karas A & B","Karas","Ashley","fireworm","rope","POLY","FIRE",1,1.676,0.171,3.219,"0.491581146445797","P6100046","Kailyn",NA,"WPOLY"
"66",67,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","rope","POLY","POLY",1,2.636,0.298,5.862,"2.7745896776537","P6100053","Kailyn",NA,"LM"
"67",68,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","fishing net","POLY","POLY",1,3.351,0.372,6.872,"3.4895896776537","P6100064","Kailyn",NA,"LM"
"68",69,"Black","6/9/2023","Karas A & B","Karas","Ashley","brittle star","none","OPHR","OPHR",1,0.583,0.533,1.889,"0.134837967659665","P6100047","Kailyn",NA,"WPOLY"
"69",70,"Black","6/9/2023","Karas A & B","Karas","Ashley","brittle star","none","OPHR","OPHR",1,0.122,0.152,0.481,"0.219513322986732","P6100036","Kailyn",NA,"WPOLY"
"70",71,"Black","6/9/2023","Karas A & B","Karas","Ashley","brittle star","none","OPHR","OPHR",1,0.514,0.439,1.798,"0.171045004841265","P6100048","Kailyn",NA,"WPOLY"
"71",72,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","none","MTHR","CLNG",1,0.559,0.548,1.81,"1.14273858569205","P6100051","Kailyn",NA,"LPOLY"
"72",73,"Black","6/9/2023","Karas A & B","Karas","Ashley","crab","none","XNTH","XNTH",1,0.354,0.484,1.085,"0.416","P6100049","Kailyn",NA,"MEDIAN"
"73",74,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","none","MTHR","CLNG",1,0.416,0.361,1.338,"1.09750767014123","P6100061","Kailyn",NA,"LPOLY"
"74",75,"Black","6/9/2023","Karas A & B","Karas","Ashley","decorator crab","none","MTHR","DECO",1,0.668,0.582,1.69,"0.269748216122049","P6100072","Kailyn",NA,"LPOLY"
"75",76,"Black","6/9/2023","Karas A & B","Karas","Ashley","crab","none","UNKN","CRAB",1,NA,NA,NA,"NA",NA,"Kailyn","no photo (nothing comes up)",NA
"76",77,"Black","6/9/2023","Karas A & B","Karas","Ashley","crab","none","UNKN","CRAB",1,NA,NA,NA,"NA",NA,"Kailyn","no photo (nothing comes up)",NA
"77",78,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","none","POLY","POLY",1,1.15,0.201,2.559,"1.2885896776537","P6100065","Kailyn",NA,"LM"
"78",79,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","none","POLY","POLY",1,0.229,10.409,20.885,"0.367589677653702","P6100045","Kailyn",NA,"LM"
"79",80,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","none","POLY","POLY",1,NA,NA,NA,NA,NA,"Kailyn","no photo (nothing comes up)","LM"
"80",81,"Black","6/9/2023","Karas A & B","Karas","Ashley","polychaete","none","POLY","POLY",1,NA,NA,NA,NA,NA,"Kailyn","no photo (nothing comes up)","LM"
"81",82,"Black","6/9/2023","Karas A & B","Karas","Ashley","green worm","none","SIPN","SIPN",1,1.118,0.252,2.329,"0.138244449176274","P6100054","Kailyn",NA,"LPOLY"
"82",83,"Black","6/9/2023","Karas A & B","Karas","Ashley","spagetti worm","none","POLY","TERB",1,2.008,0.137,4.343,"-4.61478475286396","P6100057","Kailyn",NA,"LPOLY"
"83",84,"Black","6/9/2023","Karas A & B","Karas","Ashley","spagetti worm","none","POLY","TERB",1,0.095,3.013,5.964,"0.467340094103431","P6100071","Kailyn",NA,"LPOLY"
"84",85,"Black","6/9/2023","Karas A & B","Karas","Ashley","amphipod","none","AMPH","AMPH",1,0.73,0.149,1.781,"0.0315","P6100062","Kailyn",NA,"MEDIAN"
"85",86,"Black","6/9/2023","Karas A & B","Karas","Ashley","decorator crab","none","MTHR","DECO",1,0.299,0.286,0.758,"0.324669918331535","P6100033","Kailyn",NA,"LPOLY"
"86",87,"Black","6/9/2023","Karas A & B","Karas","Ashley","decorator crab","none","MTHR","DECO",1,1.121,0.749,2.803,"-0.12226582274937","P6100060","Kailyn",NA,"LPOLY"
"87",88,"Black","6/9/2023","Karas A & B","Karas","Ashley","snapping shrimp","none","CARD","SNAP",1,1.151,0.245,2.265,"1.20593087179133","P6100063","Kailyn",NA,"LM"
"88",89,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","none","MTHR","CLNG",1,0.278,0.271,0.077,"0.967001371645315","P6100055","Anna Metzger",NA,"LPOLY"
"89",90,"Black","6/9/2023","Karas A & B","Karas","Ashley","clinging crab","none","MTHR","CLNG",1,0.338,0.437,0.142,"1.03422573616563","P6100059","Anna Metzger",NA,"LPOLY"
"90",90.1,"Black","6/10/2023","Karas A & B","Karas","Ashley","snail","unknown","GAST","OSNL",1,1.128,0.634,0.508,"1.45154040485267","P6100021","Anna Metzger",NA,"LM"
"91",90.2,"Black","6/11/2023","Karas A & B","Karas","Ashley","snail","unknown","GAST","OSNL",1,0.839,0.547,0.264,"1.16254040485267","P6100031","Anna Metzger",NA,"LM"
"92",91,"Red","6/9/2023","Karas A & B","Karas","Lydia","snail","none","GAST","OSNL",1,1.755,0.708,0.783,"2.07854040485267",NA,"Anna Metzger",NA,"LM"
"93",92,"Red","6/9/2023","Karas A & B","Karas","Lydia","crab","none","XNTH","XNTH",1,0.635,0.919,0.614,"0.416","P6090093","Anna Metzger",NA,"MEDIAN"
"94",93,"Red","6/9/2023","Karas A & B","Karas","Lydia","star coral","vinyl","HCOR","SSPP",1,1.533,1.309,1.499,"2.348",NA,"Anna Metzger",NA,"MEDIAN"
"95",94,"Red","6/9/2023","Karas A & B","Karas","Lydia","penaid shrimp","aluminum can","PENA","PENA",1,1.803,0.252,0.273,"0.222",NA,"Anna Metzger",NA,"MEDIAN"
"96",95,"Red","6/9/2023","Karas A & B","Karas","Lydia","snail","glass bottle","GAST","OSNL",1,0.907,0.576,0.33,"1.23054040485267",NA,"Anna Metzger",NA,"LM"
"97",96,"Red","6/9/2023","Karas A & B","Karas","Lydia","clam","weight pouch","BIVL","CLAM",1,0.731,1.11,0.61,"4.34940301423453",NA,"Anna Metzger",NA,"WPOLY"
"98",97,"Red","6/9/2023","Karas A & B","Karas","Lydia","flat worm","weight pouch","PLYC","PLYC",1,2.773,0.497,1.102,"0.154",NA,"Anna Metzger",NA,"MEDIAN"
"99",98,"Red","6/9/2023","Karas A & B","Karas","Lydia","polychaete","weight pouch","POLY","POLY",1,14.978,0.31,5.043,"15.1165896776537",NA,"Anna Metzger",NA,"LM"
"100",99,"Red","6/9/2023","Karas A & B","Karas","Lydia","peppermint shrimp","bait well","CARD","PEPP",1,NA,NA,NA,NA,NA,"Anna Metzger","no ruler","LM"
"101",100,"Red","6/9/2023","Karas A & B","Karas","Lydia","peppermint shrimp","bait well","CARD","PEPP",1,NA,NA,NA,NA,NA,"Anna Metzger","no ruler","LM"
"102",100.1,"Red","6/9/2023","Karas A & B","Karas","None","anemone","trap throat","ANME","ANME",1,NA,NA,NA,"NA","P6090009","Anna Metzger","no ruler",NA
"103",101,"Red","6/9/2023","Karas A & B","Karas","Lydia","fireworm","rope","POLY","FIRE",1,1.262,0.24,0.267,"0.524313460370566",NA,"Anna Metzger",NA,"WPOLY"
"104",102,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","rope","OPHR","OPHR",1,0.266,0.305,0.068,"0.205314248757075",NA,"Anna Metzger",NA,"WPOLY"
"105",103,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","rope","OPHR","OPHR",1,0.225,0.189,0.043,"0.218516222844094",NA,"Anna Metzger",NA,"WPOLY"
"106",104,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","rope","OPHR","OPHR",1,0.207,0.227,0.071,"0.215874166294261",NA,"Anna Metzger",NA,"WPOLY"
"107",105,"Red","6/9/2023","Karas A & B","Karas","Lydia","red worm","rope","POLY","POLY",1,1.889,0.053,0.131,"2.0275896776537",NA,"Anna Metzger",NA,"LM"
"108",106,"Red","6/9/2023","Karas A & B","Karas","Lydia","bristle worm","rope","POLY","POLY",1,0.303,0.243,0.049,"0.441589677653701","P6090090","Anna Metzger",NA,"LM"
"109",107,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.23,0.213,0.033,"0.217038310147911","P6090047","Anna Metzger",NA,"WPOLY"
"110",108,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.277,0.255,0.044,"0.212878237492394","P6090053","Anna Metzger",NA,"WPOLY"
"111",109,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.426,0.362,0.099,"0.19322876500377","P6090052","Anna Metzger",NA,"WPOLY"
"112",110,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.388,0.432,0.223,"0.173339894099987","P6090091","Anna Metzger",NA,"WPOLY"
"113",111,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.314,0.286,0.059,"0.208522952745799","P6090086","Anna Metzger",NA,"WPOLY"
"114",112,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.259,0.246,0.046,"0.213938295072561","P6090045","Anna Metzger",NA,"WPOLY"
"115",113,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.188,0.228,0.041,"0.215782497331569","P6090092","Anna Metzger",NA,"WPOLY"
"116",114,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.395,0.311,0.11,"0.204215815510388","P6090051","Anna Metzger",NA,"WPOLY"
"117",115,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.183,0.14,0.058,"0.219502886269492","P6090069","Anna Metzger",NA,"WPOLY"
"118",116,"Red","6/9/2023","Karas A & B","Karas","Lydia","brittle star","fishing net","OPHR","OPHR",1,0.293,0.185,0.024,"0.218698956760642","P6090082","Anna Metzger",NA,"WPOLY"
